Field ID,Field,Domain,Type,Description
customers.customer_id,Customer ID,Customer profiles,text,Unique fictional primary key; automatically included for this table.
customers.display_name,Display name,Customer profiles,text,"Fictional display name; test-only values, not a real identity or payment credential."
customers.age,Age,Customer profiles,integer,Synthetic age. Illustrative range: 18 to 85.
customers.annual_income,Annual income,Customer profiles,decimal,Synthetic annual income. Illustrative range: 12000 to 500000.
customers.credit_score,Credit score,Customer profiles,integer,Synthetic credit score. Illustrative range: 300 to 850.
customers.segment,Segment,Customer profiles,text,"Illustrative values: Retail, Affluent, Private."
customers.market,Market,Customer profiles,text,Synthetic market for customer profiles; illustrative test data.
customers.currency,Currency,Customer profiles,text,Synthetic currency for customer profiles; illustrative test data.
customers.date_of_birth,Date of birth,Customer profiles,date,Date of birth calculated from related values in this synthetic dataset.
customers.email,Email,Customer profiles,text,"Fictional email; test-only values, not a real identity or payment credential."
customers.phone_number,Phone number,Customer profiles,text,"Fictional phone number; test-only values, not a real identity or payment credential."
customers.nationality,Nationality,Customer profiles,text,Synthetic nationality for customer profiles; illustrative test data.
customers.residence_country,Residence country,Customer profiles,text,Synthetic residence country for customer profiles; illustrative test data.
customers.city,City,Customer profiles,text,"Illustrative values: Test Central, Test North, Test West."
customers.postal_code,Postal code,Customer profiles,text,"Fictional postal code; test-only values, not a real identity or payment credential."
customers.employment_status,Employment status,Customer profiles,text,"Illustrative values: Employed, Self-employed, Retired, Student."
customers.occupation,Occupation,Customer profiles,text,"Illustrative values: Engineer, Teacher, Analyst, Nurse, Designer."
customers.employer_name,Employer name,Customer profiles,text,"Fictional employer name; test-only values, not a real identity or payment credential."
customers.monthly_income,Monthly income,Customer profiles,decimal,Monthly income calculated from related values in this synthetic dataset.
customers.customer_since,Customer since,Customer profiles,date,Synthetic customer since for customer profiles; illustrative test data.
customers.preferred_language,Preferred language,Customer profiles,text,"Illustrative values: English, Mandarin, Malay, Tamil."
customers.marital_status,Marital status,Customer profiles,text,"Illustrative values: Single, Married, Divorced."
customers.dependants,Dependants,Customer profiles,integer,Synthetic dependants. Illustrative range: 0 to 5.
customers.relationship_manager_id,Relationship manager ID,Customer profiles,text,"Fictional relationship manager id; test-only values, not a real identity or payment credential."
customers.risk_rating,Risk rating,Customer profiles,text,"Illustrative values: Low, Medium, High."
accounts.account_id,Account ID,Accounts & balances,text,Unique fictional primary key; automatically included for this table.
accounts.customer_id,Customer ID,Accounts & balances,text,Join key to Customer profiles; a matching parent record is included.
accounts.account_type,Account type,Accounts & balances,text,"Illustrative values: Current, Savings."
accounts.currency,Currency,Accounts & balances,text,Synthetic currency for accounts & balances; illustrative test data.
accounts.opened_at,Opened at,Accounts & balances,date,Synthetic opened at for accounts & balances; illustrative test data.
